Time(sec)	Temp(C)	DTA(uV)	TGA(mg)
345.000000	79.221695	-0.810000	2.196598
346.000000	79.448601	-0.815000	2.194798
347.000000	79.722198	-0.823000	2.193897
348.000000	79.687096	-0.833000	2.193501
349.000000	79.999199	-0.847000	2.192398
350.000000	80.149101	-0.862000	2.191799
351.000000	80.271500	-0.880000	2.190998
352.000000	80.515297	-0.897000	2.192398
353.000000	80.549797	-0.913000	2.193699
354.000000	80.763695	-0.928000	2.193398
355.000000	81.066101	-0.938000	2.193699
356.000000	81.042397	-0.944000	2.193798
357.000000	81.256500	-0.945000	2.192699
358.000000	81.490395	-0.944000	2.190498
359.000000	81.544998	-0.942000	2.187099
360.000000	81.804398	-0.940000	2.185299
361.000000	81.897598	-0.939000	2.183701
362.000000	82.028099	-0.938000	2.182400
363.000000	82.328499	-0.938000	2.180698
364.000000	82.384499	-0.939000	2.179897
365.000000	82.514999	-0.939000	2.180298
366.000000	82.821800	-0.938000	2.182198
367.000000	82.830101	-0.937000	2.183998
368.000000	83.119202	-0.935000	2.184200
369.000000	83.267998	-0.936000	2.184597
370.000000	83.266495	-0.935000	2.185997
371.000000	83.604195	-0.937000	2.186897
372.000000	83.718895	-0.940000	2.187397
373.000000	83.858299	-0.945000	2.187000
374.000000	84.083099	-0.951000	2.187397
375.000000	84.135101	-0.956000	2.187199
376.000000	84.370300	-0.962000	2.186600
377.000000	84.648895	-0.967000	2.185898
378.000000	84.604897	-0.973000	2.185398
379.000000	84.855896	-0.978000	2.184700
380.000000	85.099098	-0.982000	2.185200
381.000000	85.162498	-0.987000	2.186100
382.000000	85.386101	-0.991000	2.187000
383.000000	85.475098	-0.994000	2.187298
384.000000	85.664696	-0.997000	2.187599
385.000000	85.963295	-0.998000	2.188297
386.000000	85.965500	-1.000000	2.188797
387.000000	86.132996	-1.001000	2.187901
388.000000	86.433395	-1.003000	2.185799
389.000000	86.444901	-1.005000	2.184498
390.000000	86.727196	-1.007000	2.183800
391.000000	86.853897	-1.010000	2.182499
392.000000	86.939301	-1.012000	2.181099
393.000000	87.237801	-1.015000	2.177998
394.000000	87.328201	-1.018000	2.176098
395.000000	87.458397	-1.022000	2.174599
396.000000	87.720497	-1.027000	2.170898
397.000000	87.789101	-1.032000	2.167400
398.000000	88.024597	-1.037000	2.163898
399.000000	88.239296	-1.043000	2.161098
400.000000	88.234795	-1.047000	2.157600
401.000000	88.533699	-1.050000	2.154301
402.000000	88.740395	-1.051000	2.152397
403.000000	88.794701	-1.051000	2.151501
404.000000	89.047096	-1.049000	2.151299
405.000000	89.137901	-1.047000	2.150398
406.000000	89.321800	-1.044000	2.150799
407.000000	89.634399	-1.041000	2.153000
408.000000	89.578598	-1.039000	2.154999
409.000000	89.825699	-1.037000	2.157799
410.000000	90.103401	-1.034000	2.160999
411.000000	90.102898	-1.033000	2.164600
412.000000	90.360001	-1.031000	2.169300
413.000000	90.489601	-1.031000	2.172298
414.000000	90.610596	-1.031000	2.174900
415.000000	90.922096	-1.031000	2.175999
416.000000	90.957397	-1.031000	2.175301
417.000000	91.090897	-1.031000	2.172398
418.000000	91.385796	-1.032000	2.168900
419.000000	91.414200	-1.033000	2.166599
420.000000	91.666496	-1.034000	2.165398
421.000000	91.813896	-1.037000	2.163498
422.000000	91.852898	-1.039000	2.162399
423.000000	92.164795	-1.043000	2.163097
424.000000	92.330101	-1.046000	2.166100
